SPECIES,LISTSPE,Family,Genus,sp,Nomenclature,Full Sp Name,Kommentar
LINARALP,BX_AT,,,,,Linaria alpina,
LINN BOR,B4,,,,,Linnaea borealis,
LINU CAT,B4,,,,,Linum catharticum,
LIST COR,B4,,,,,Listera cordata,
LIST OVA,B4,,,,,Listera ovata,
LOIS PRO,B4,,,,,Loiseleuria procumbens,
LONALPI,BX_AT,,,,,Lonicera alpigena,
LONI CAP,B4,,,,,Lonicera caprifolium,
LONI NIG,BX_IT,Caprifoliaceae,Lonicera,nigra,L.,Lonicera nigra,
LONI PER,B4,,,,,Lonicera periclymenum,
LONI XYL,B4,,,,,Lonicera xylosteum,
LORO HIR,BX_IT,,,,,,Art unbekannt
LOTU COR,B4,,,,,Lotus corniculatus,
LUZLUZI,BX_AT,Juncaceae,Luzula,luzulina,(Vill.) Dalla Torre & Sarnth.,Luzula luzulina,
LUZU CAM,B4,,,,,Luzula campestris,
LUZU FOR,BX_IT,Juncaceae,Luzula,forsteri,(Sm.) DC.,Luzula forsteri,
LUZU LUZ,B4,,,,,Luzula luzuloides,
LUZU MUL,B4,,,,,Luzula multiflora,
LUZU NIV,BX_IT,Juncaceae,Luzula,nivea,(L.) DC.,Luzula nivea,
LUZU PIL,B4,,,,,Luzula pilosa,
LUZU SIE,BX_IT,Juncaceae,Luzula,sieberi,Tausch,Luzula sieberi,
LUZU SYL,B4,,,,,Luzula sylvatica,
LYCH FLC,B4,,,,,Lychnis flos-cuculi,
LYCO ANN,B4,,,,,Lycopodium annotinum,
LYCO CLA,B4,,,,,Lycopodium clavatum,
LYCO COM,B4,,,,,Lycopodium complanatum,
LYCO SEL,B4,,,,,Lycopodium selago,
LYSI NEM,B4,,,,,Lysimachia nemorum,
LYSI PUN,B4,,,,,Lysimachia punctata,
LYSI THY,B4,,,,,Lysimachia thyrsiflora,
MAIABIFO,BX_AT,,,,,MAIANTHEMUM BIFOLIUM,
MAJA BIF,B4,,,,,Majanthemum bifolium,
MALU SYL,B4,,,,,Malus sylvestris,
MATT STR,B4,,,,,Matteuccia struthiopteris,
MELA ARV,B4,,,,,Melampyrum arvense,
MELA CRI,B4,,,,,Melampyrum cristatum,
MELA PRA,B4,,,,,Melampyrum pratense,
MELA SYL,B4,,,,,Melampyrum sylvaticum,
MELAMPYZ,B4,,,,,MELAMPYRUM SP.,
MELI MEL,BX_IT,Labiatae,Melittis,melissophyllum,L.,Melittis melissophyllum,
MELI NUT,B4,,,,,Melica nutans,
MELI UNI,B4,,,,,Melica uniflora,
MELMECA,BX_AT,,,,,Melitis melissophyllum ssp. carpatica,
MENT LON,B4,,,,,Mentha longifolia,
MENY TRI,B4,,,,,Menyanthes trifoliata,
MERC PER,B4,,,,,Mercurialis perennis,
MESP GER,BX_IT,Rosaceae,Mespilus,germanica,L.,Mespilus germanica,
MILI EFF,B4,,,,,Milium effusum,
MOEH TRI,B4,,,,,Moehringia trinervia,
MOEMUSC,BX_AT,,,,,Moehringia muscosa,
MOLI CAE,B4,,,,,Molinia caerulea,
MONO HYS,B4,,,,,Monotropa hypopitys,
MYCE MUR,B4,,,,,Mycelis muralis,
MYOS ARV,B4,,,,,Myosotis arvensis,
MYOS NEM,B4,,,,,Myosotis nemorosa,
MYOS PAL,B4,,,,,Myosotis palustris,
MYOS SCO,B4,,,,,Myosotis scorpioides,
MYOS SYL,B4,,,,,Myosotis sylvatica,
